#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第104回 問56】病態・薬物治療・腎・泌尿器疾患<br><br>腎機能の低下などにより尿量が減少する症候はどれか。1つ選べ。<br><br>1. 残尿<br>2. 尿失禁<br>3. 乏尿<br>4. 尿閉<br>5. 血尿	<b>正答：3</b><br>乏尿<br><br>テーマ：腎・泌尿器疾患（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::腎_泌尿器疾患 第104回
【第104回 問57】病態・薬物治療・消化器・肝疾患<br><br>肝硬変で高値を示す検査値はどれか。1つ選べ。<br><br>1. 血小板数<br>2. 血清アルブミン濃度<br>3. 血清総コレステロール濃度<br>4. 血清 c︲グロブリン濃度<br>5. 血清コリンエステラーゼ活性	<b>正答：4</b><br>血清 c︲グロブリン濃度<br><br>テーマ：消化器・肝疾患（10年3問・3/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::消化器_肝疾患 第104回
【第104回 問58】病態・薬物治療・副作用・薬剤性疾患　📐図・構造式<br><br>第Ⅱ誘導により得られた心電図（下図）において、QT 間隔に当たるのはどれか。1つ選べ。 ａ ｂ ｃ ｄ ｅ V m 5 . 0 0 . 2 sec<br><br>1. ａ～ｄ間<br>2. ａ～ｅ間<br>3. ｂ～ｄ間<br>4. ｂ～ｅ間<br>5. ｃ～ｄ間	<b>正答：2</b><br>ａ～ｅ間<br><br>テーマ：副作用・薬剤性疾患（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::副作用_薬剤性疾患 第104回 flag::図
【第104回 問59】病態・薬物治療・がん　📐図・構造式<br><br>食道がんの腫瘍マーカーとして有用なのはどれか。1つ選べ。<br><br>1. AFP<br>2. NSE<br>3. SCC 抗原<br>4. PIVKA︲Ⅱ<br>5. CA 15︲3	<b>正答：3</b><br>SCC 抗原<br><br>テーマ：がん（10年13問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::がん 第104回 flag::図
【第104回 問60】病態・薬物治療・循環器疾患　⚠️否定形<br><br>右心不全を伴わない左心不全の主な症状に該当しないのはどれか。1つ選べ。<br><br>1. 急性肺水腫<br>2. 下肢浮腫<br>3. 呼吸困難<br>4. 血圧低下<br>5. 尿量減少	<b>正答：2</b><br>下肢浮腫<br><br>テーマ：循環器疾患（10年14問・6/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::循環器疾患 第104回 flag::否定形
【第104回 問61】病態・薬物治療・精神・神経疾患　⚠️否定形<br><br>てんかん発作のうち、意識障害を伴わないのはどれか。1つ選べ。<br><br>1. 脱力発作<br>2. 単純部分発作<br>3. 欠神発作<br>4. 複雑部分発作<br>5. 強直間代発作	<b>正答：2</b><br>単純部分発作<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第104回 flag::否定形
【第104回 問62】病態・薬物治療・精神・神経疾患<br><br>客観的な危険が存在しないのに、急な不安に襲われ、動悸、呼吸困難、めまいなどの自律神経症状を伴い、通常30分以内に症状が改善する不安神経症はどれか。1つ選べ。<br><br>1. 全般性不安障害<br>2. 外傷後ストレス障害<br>3. 強迫性障害<br>4. パニック障害<br>5. 解離性障害	<b>正答：4</b><br>パニック障害<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第104回
【第104回 問63】病態・薬物治療・感染症<br><br>細菌感染が原因となる皮膚疾患はどれか。1つ選べ。<br><br>1. 蜂窩織炎<br>2. アトピー性皮膚炎<br>3. 尋常性乾癬<br>4. 帯状疱疹<br>5. じん麻疹	<b>正答：1</b><br>蜂窩織炎<br><br>テーマ：感染症（10年12問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::感染症 第104回
【第104回 問64】病態・薬物治療・呼吸器・アレルギー疾患<br><br>免疫複合体が組織に沈着することによって引き起こされるアレルギー反応の型はどれか。1つ選べ。<br><br>1. Ⅰ型<br>2. Ⅱ型<br>3. Ⅲ型<br>4. Ⅳ型<br>5. Ⅰ型とⅡ型の複合型	<b>正答：3</b><br>Ⅲ型<br><br>テーマ：呼吸器・アレルギー疾患（10年12問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::呼吸器_アレルギー疾患 第104回
【第104回 問65】病態・薬物治療・がん<br><br>がんに伴う疼痛のうち、プレガバリンが最も有効なのはどれか。1つ選べ。<br><br>1. 神経障害による痛み<br>2. 臓器へのがん浸潤による痛み<br>3. 術後の創部の痛み<br>4. 消化管閉塞による痛み<br>5. 骨転移による痛み	<b>正答：1</b><br>神経障害による痛み<br><br>テーマ：がん（10年13問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::がん 第104回
【第104回 問66】病態・薬物治療・感染症<br><br>菌交代現象による偽膜性大腸炎の代表的な起因菌はどれか。1つ選べ。<br><br>1. Streptococcus pneumoniae<br>2. Clostridium difficile<br>3. Mycobacterium tuberculosis<br>4. Salmonella typhi<br>5. Vibrio cholerae	<b>正答：2</b><br>Clostridium difficile<br><br>テーマ：感染症（10年12問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::感染症 第104回
【第104回 問67】病態・薬物治療・医薬品情報・EBM　⚠️否定形<br><br>要指導医薬品及び一般用医薬品の添付文書への記載項目に該当しないのはどれか。1つ選べ。<br><br>1. 製品の特徴<br>2. 使用上の注意<br>3. 効能又は効果<br>4. 臨床成績<br>5. 用法及び用量	<b>正答：4</b><br>臨床成績<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第104回 flag::否定形
【第104回 問68】病態・薬物治療・医薬品情報・EBM<br><br>学術論文収載雑誌の評価指標で、掲載された研究論文の被引用数に基づいて算出される値はどれか。1つ選べ。<br><br>1. リスクファクター<br>2. インパクトファクター<br>3. 国際標準図書番号（ISBN）<br>4. デジタルオブジェクト識別子（DOI）<br>5. フェイススケール	<b>正答：2</b><br>インパクトファクター<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第104回
【第104回 問69】病態・薬物治療・呼吸器・アレルギー疾患<br><br>気管支喘息の発作治療薬（リリーバー）として用いられる薬物はどれか。1つ選べ。<br><br>1. フルチカゾンプロピオン酸エステル<br>2. カルテオロール塩酸塩<br>3. アゼラスチン塩酸塩<br>4. モンテルカストナトリウム<br>5. プロカテロール塩酸塩水和物	<b>正答：5</b><br>プロカテロール塩酸塩水和物<br><br>テーマ：呼吸器・アレルギー疾患（10年12問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::呼吸器_アレルギー疾患 第104回
【第104回 問70】病態・薬物治療・医薬品情報・EBM　⚠️否定形<br><br>問題志向型システム（POS）による問題解決の過程として、該当しないのはどれか。1つ選べ。<br><br>1. 患者情報の収集<br>2. 情報の公開<br>3. 問題の明確化<br>4. 初期計画の立案<br>5. 計画の実施	<b>正答：2</b><br>情報の公開<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第104回 flag::否定形
【第104回 問71】法規・制度・倫理・医療保険・介護保険<br><br>薬剤師に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 薬剤師の免許の効力は、薬剤師国家試験に合格した時から生じる。<br>2. 薬剤師以外の者が調剤を行うことは、例外なく禁止されている。<br>3. 薬剤師名簿への登録を行えば、自動的に保険薬剤師として登録される。<br>4. 薬剤師でなければ、薬剤師又はこれにまぎらわしい名称を用いてはならない。<br>5. 薬剤師の品位を損するような行為を行っても、免許を取り消されることはない。	<b>正答：4</b><br>薬剤師でなければ、薬剤師又はこれにまぎらわしい名称を用いてはならない。<br><br>テーマ：医療保険・介護保険（10年14問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::医療保険_介護保険 第104回
【第104回 問72】法規・制度・倫理・販売制度・リスク区分　⚠️否定形<br><br>店舗販売業において販売できないのはどれか。1つ選べ。<br><br>1. 要指導医薬品<br>2. 第一類医薬品<br>3. 第二類医薬品<br>4. 第三類医薬品<br>5. 処方箋医薬品	<b>正答：5</b><br>処方箋医薬品<br><br>テーマ：販売制度・リスク区分（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::販売制度_リスク区分 第104回 flag::否定形
【第104回 問73】法規・制度・倫理・毒薬・劇薬・毒物劇物<br><br>特定生物由来製品について、直接の容器又は直接の被包に記載しなければならない「特生物」の表示方法はどれか。1つ選べ。<br><br>1. 白地に赤枠、赤字<br>2. 白地に赤枠、黒字<br>3. 白地に黒枠、黒字<br>4. 白地に黒枠、赤字<br>5. 赤地に白字（枠なし）	<b>正答：3</b><br>白地に黒枠、黒字<br><br>テーマ：毒薬・劇薬・毒物劇物（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::毒薬_劇薬_毒物劇物 第104回
【第104回 問74】法規・制度・倫理・薬剤師法　🔢計算<br><br>医療の担い手が医療を提供するに当たり、適切な説明を行い、医療を受ける者の理解を得るよう努めることを求めているのはどれか。1つ選べ。<br><br>1. 医薬品医療機器等法<br>2. 医師法<br>3. 健康保険法<br>4. 医療法<br>5. 薬剤師法	<b>正答：4</b><br>医療法<br><br>テーマ：薬剤師法（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬剤師法 第104回 flag::計算
【第104回 問75】法規・制度・倫理・麻薬・向精神薬・覚醒剤<br><br>都道府県知事の免許を受けることが必要なのはどれか。1つ選べ。<br><br>1. 麻薬製剤業者<br>2. 麻薬輸出業者<br>3. 麻薬輸入業者<br>4. 麻薬小売業者<br>5. 麻薬製造業者	<b>正答：4</b><br>麻薬小売業者<br><br>テーマ：麻薬・向精神薬・覚醒剤（10年9問・6/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::麻薬_向精神薬_覚醒剤 第104回
【第104回 問76】法規・制度・倫理・薬機法・医薬品の分類　⚠️否定形<br><br>製造物責任法の対象にならないのはどれか。1つ選べ。ただし、免責事由はないものとする。<br><br>1. 一般用医薬品<br>2. 血液製剤<br>3. 要指導医薬品<br>4. 薬局製造販売医薬品<br>5. 調剤された薬剤	<b>正答：5</b><br>調剤された薬剤<br><br>テーマ：薬機法・医薬品の分類（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬機法_医薬品の分類 第104回 flag::否定形
【第104回 問77】法規・制度・倫理・医療法・医療提供体制　⚠️否定形<br><br>地域における薬局の役割に該当しないのはどれか。1つ選べ。<br><br>1. 在宅医療への参画<br>2. 地域住民の健康診断<br>3. 医薬品の販売・調剤<br>4. 生活習慣病等の健康相談応需<br>5. 薬物乱用防止活動	<b>正答：2</b><br>地域住民の健康診断<br><br>テーマ：医療法・医療提供体制（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::医療法_医療提供体制 第104回 flag::否定形
【第104回 問78】法規・制度・倫理・薬機法・医薬品の分類<br><br>医薬品の GLP の説明として正しいのはどれか。1つ選べ。<br><br>1. 医薬品の製造管理及び品質管理の基準<br>2. 医薬品の臨床試験の実施の基準<br>3. 医薬品の安全性に関する非臨床試験の実施の基準<br>4. 医薬品の製造販売後安全管理の基準<br>5. 医薬品の適正な流通管理の基準	<b>正答：3</b><br>医薬品の安全性に関する非臨床試験の実施の基準<br><br>テーマ：薬機法・医薬品の分類（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬機法_医薬品の分類 第104回
【第104回 問79】法規・制度・倫理・倫理・臨床研究　⚠️否定形<br><br>生命倫理の四原則に含まれないのはどれか。1つ選べ。<br><br>1. 善行原則<br>2. 正義原則<br>3. 自律尊重原則<br>4. 優生原則<br>5. 無危害原則	<b>正答：4</b><br>優生原則<br><br>テーマ：倫理・臨床研究（10年9問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::倫理_臨床研究 第104回 flag::否定形
【第104回 問80】法規・制度・倫理・コミュニケーション・患者中心の医療<br><br>コミュニケーションにおける言語メッセージはどれか。1つ選べ。<br><br>1. 手話<br>2. 対人距離<br>3. 声の調子<br>4. 姿勢<br>5. 表情	<b>正答：1</b><br>手話<br><br>テーマ：コミュニケーション・患者中心の医療（10年7問・6/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::コミュニケーション_患者中心の医療 第104回
【第104回 問81】実務・服薬タイミング・投与計画　⚠️否定形<br><br>7日間連日服用できないのはどれか。1つ選べ。<br><br>1. アトルバスタチンカルシウム水和物<br>2. アムロジピンベシル酸塩<br>3. 葉酸<br>4. メトトレキサート<br>5. メトホルミン塩酸塩	<b>正答：4</b><br>メトトレキサート<br><br>テーマ：服薬タイミング・投与計画（10年6問・4/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::服薬タイミング_投与計画 第104回 flag::否定形
